[  2023-08-28 월요일 09:58:35 280 ] 파일 생성 성공
[ default 2023-08-28 월요일 09:58:35 279 ] 프로그램 시작
[ default 2023-08-28 월요일 09:58:36 319 ] LoginForm -> LoginForm_Load 
[ default 2023-08-28 월요일 09:58:56 896 ] CameraControl -> Finalize 
[ default 2023-08-28 월요일 09:58:56 898 ] CameraControl -> Close 
[ default 2023-08-28 월요일 09:58:56 909 ] CameraControl -> Finalize 
[ default 2023-08-28 월요일 09:58:56 909 ] CameraControl -> Close 
[ default 2023-08-28 월요일 09:58:56 910 ] CameraControl -> Finalize 
[ default 2023-08-28 월요일 09:58:56 910 ] CameraControl -> Close 
[ default 2023-08-28 월요일 09:59:01 545 ] 프로그램 시작
[ default 2023-08-28 월요일 09:59:02 154 ] LoginForm -> LoginForm_Load 
[ default 2023-08-28 월요일 09:59:10 442 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 09:59:11 379 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 09:59:12 893 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 09:59:14 129 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 09:59:14 149 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 09:59:15 358 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 09:59:15 694 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 09:59:17 374 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 09:59:19 457 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 09:59:20 228 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 09:59:20 811 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 09:59:21 718 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 09:59:31 875 ] CameraControl -> Finalize 
[ default 2023-08-28 월요일 09:59:31 875 ] CameraControl -> Close 
[ default 2023-08-28 월요일 09:59:31 886 ] CameraControl -> Finalize 
[ default 2023-08-28 월요일 09:59:31 886 ] CameraControl -> Close 
[ default 2023-08-28 월요일 09:59:31 886 ] CameraControl -> Finalize 
[ default 2023-08-28 월요일 09:59:31 887 ] CameraControl -> Close 
[ default 2023-08-28 월요일 10:00:46 469 ] 프로그램 시작
[ default 2023-08-28 월요일 10:00:46 959 ] LoginForm -> LoginForm_Load 
[ default 2023-08-28 월요일 10:00:48 698 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 10:00:49 249 ] LoginForm -> InputCheck 
[ default 2023-08-28 월요일 10:00:49 958 ] LoginForm -> Start_Click 
[ default 2023-08-28 월요일 10:00:50 740 ] 검사자 : 2 & 검사장소 : 3 ==> 검사 시작
[ default 2023-08-28 월요일 10:00:50 793 ] MainForm -> MainForm_Load 
[ default 2023-08-28 월요일 10:00:54 266 ] MainForm -> MainForm_Shown 
[ default 2023-08-28 월요일 10:09:31 019 ] CameraControl -> Finalize 
