[ 2023-04-19 수요일 09:24:39 163 ] 프로그램 시작
[ 2023-04-19 수요일 09:24:41 464 ] Form1 -> Form1_Shown 
[ 2023-04-19 수요일 09:24:41 967 ] RealTimeView_Page -> PanelSettings 
[ 2023-04-19 수요일 09:24:42 315 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ 2023-04-19 수요일 09:24:42 317 ] RealTimeView_Page -> VideoSetLoad 
[ 2023-04-19 수요일 09:24:42 319 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ 2023-04-19 수요일 09:24:42 322 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 09:24:42 329 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 09:24:42 582 ] CameraControl -> open 
[ 2023-04-19 수요일 09:24:42 612 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 09:24:42 626 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 09:24:42 638 ] CameraControl -> Start 
[ 2023-04-19 수요일 09:24:42 692 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 09:24:42 980 ] CameraControl -> open 
[ 2023-04-19 수요일 09:24:42 990 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 09:24:42 996 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 09:24:42 998 ] CameraControl -> Start 
[ 2023-04-19 수요일 09:24:43 042 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 09:24:43 363 ] CameraControl -> open 
[ 2023-04-19 수요일 09:24:43 376 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 09:24:43 385 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 09:24:43 387 ] CameraControl -> Start 
[ 2023-04-19 수요일 09:24:43 448 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 09:24:43 506 ] VideoCheck_Page -> PanelSettings 
[ 2023-04-19 수요일 09:24:43 581 ] VideoAnalysis_Page -> PanelSettings 
[ 2023-04-19 수요일 09:24:56 461 ] RealTimeView_Page -> RealTimeView_CamActions 
[ 2023-04-19 수요일 09:29:08 964 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 09:29:10 126 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 09:29:11 638 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 09:29:12 591 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 09:30:07 595 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 09:30:08 425 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 09:30:14 457 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 09:30:36 590 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 09:42:17 056 ] Form1 -> Form1_FormClosing 
[ 2023-04-19 수요일 09:42:17 082 ] RealTimeView_Page -> CameraClose 
[ 2023-04-19 수요일 09:42:17 129 ] CameraControl -> Stop 
[ 2023-04-19 수요일 09:42:18 546 ] CameraControl -> Close 
[ 2023-04-19 수요일 09:42:18 704 ] CameraControl -> Stop 
[ 2023-04-19 수요일 09:42:20 079 ] CameraControl -> Close 
[ 2023-04-19 수요일 09:42:20 198 ] CameraControl -> Stop 
[ 2023-04-19 수요일 09:42:20 531 ] CameraControl -> Close 
[ 2023-04-19 수요일 09:42:20 559 ] VideoCheck_Page -> VideoClose 
[ 2023-04-19 수요일 09:42:20 562 ] VideoAnalysis_Page -> VideoClose 
[ 2023-04-19 수요일 10:38:10 717 ] 프로그램 시작
[ 2023-04-19 수요일 10:38:12 995 ] Form1 -> Form1_Shown 
[ 2023-04-19 수요일 10:38:14 130 ] RealTimeView_Page -> PanelSettings 
[ 2023-04-19 수요일 10:38:14 449 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ 2023-04-19 수요일 10:38:14 449 ] RealTimeView_Page -> VideoSetLoad 
[ 2023-04-19 수요일 10:38:14 450 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ 2023-04-19 수요일 10:38:14 452 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:38:14 454 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 10:38:14 725 ] CameraControl -> open 
[ 2023-04-19 수요일 10:38:14 764 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 10:38:14 779 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 10:38:14 792 ] CameraControl -> Start 
[ 2023-04-19 수요일 10:38:14 838 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 10:38:15 156 ] CameraControl -> open 
[ 2023-04-19 수요일 10:38:15 168 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 10:38:15 179 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 10:38:15 185 ] CameraControl -> Start 
[ 2023-04-19 수요일 10:38:15 244 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 10:38:15 579 ] CameraControl -> open 
[ 2023-04-19 수요일 10:38:15 594 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 10:38:15 615 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 10:38:15 623 ] CameraControl -> Start 
[ 2023-04-19 수요일 10:38:15 758 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:38:15 811 ] VideoCheck_Page -> PanelSettings 
[ 2023-04-19 수요일 10:38:16 158 ] VideoAnalysis_Page -> PanelSettings 
[ 2023-04-19 수요일 10:38:21 769 ] Form1 -> NavigationClick 
[ 2023-04-19 수요일 10:38:37 368 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:38:37 551 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:39:06 922 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:39:09 856 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:39:11 215 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:39:23 391 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:39:24 039 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:35 159 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:35 543 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:36 503 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:37 335 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:37 655 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:37 887 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:38 087 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:38 295 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:38 470 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:38 823 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:39 479 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:39 911 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:39 927 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:41 120 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:41 575 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:41 991 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:42 206 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:42 431 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:48 135 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:40:57 584 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:11 148 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:41:14 217 ] Settings_Page -> PixelLengthChange 입력 문자열의 형식이 잘못되었습니다.
[ 2023-04-19 수요일 10:41:35 854 ] Settings_Page -> UserTextChange 
[ 2023-04-19 수요일 10:41:35 855 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:41:37 687 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:41 535 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:42 646 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:43 399 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:43 583 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:43 752 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:43 927 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:44 231 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:44 647 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:45 111 ] Settings_Page -> OnlyDigitPress 
