[ 2023-04-20 목요일 09:44:31 129 ] 프로그램 시작
[ 2023-04-20 목요일 09:44:33 432 ] Form1 -> Form1_Shown 
[ 2023-04-20 목요일 09:44:34 180 ] RealTimeView_Page -> PanelSettings 
[ 2023-04-20 목요일 09:44:34 538 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ 2023-04-20 목요일 09:44:34 538 ] RealTimeView_Page -> VideoSetLoad 
[ 2023-04-20 목요일 09:44:34 538 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ 2023-04-20 목요일 09:44:34 538 ] Settings_Page -> XMLSave 
[ 2023-04-20 목요일 09:44:34 538 ] CameraControl -> CameraOpen 
[ 2023-04-20 목요일 09:44:34 822 ] CameraControl -> open 
[ 2023-04-20 목요일 09:44:34 841 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-20 목요일 09:44:34 856 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-20 목요일 09:44:34 879 ] CameraControl -> Start 
[ 2023-04-20 목요일 09:44:34 919 ] CameraControl -> CameraOpen 
[ 2023-04-20 목요일 09:44:35 257 ] CameraControl -> open 
[ 2023-04-20 목요일 09:44:35 257 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-20 목요일 09:44:35 277 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-20 목요일 09:44:35 277 ] CameraControl -> Start 
[ 2023-04-20 목요일 09:44:35 361 ] CameraControl -> CameraOpen 
[ 2023-04-20 목요일 09:44:35 838 ] CameraControl -> open 
[ 2023-04-20 목요일 09:44:35 850 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-20 목요일 09:44:35 858 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-20 목요일 09:44:35 862 ] CameraControl -> Start 
[ 2023-04-20 목요일 09:44:35 962 ] VideoCheck_Page -> PanelSettings 
[ 2023-04-20 목요일 09:44:36 075 ] VideoAnalysis_Page -> PanelSettings 
[ 2023-04-20 목요일 09:44:39 011 ] Form1 -> NavigationClick 
[ 2023-04-20 목요일 09:44:54 601 ] Form1 -> Form1_FormClosing 
[ 2023-04-20 목요일 09:44:54 608 ] RealTimeView_Page -> CameraClose 
[ 2023-04-20 목요일 09:44:54 612 ] CameraControl -> Stop 
[ 2023-04-20 목요일 09:44:55 994 ] CameraControl -> Close 
[ 2023-04-20 목요일 09:44:56 010 ] CameraControl -> Stop 
[ 2023-04-20 목요일 09:44:57 331 ] CameraControl -> Close 
[ 2023-04-20 목요일 09:44:57 340 ] CameraControl -> Stop 
[ 2023-04-20 목요일 09:44:57 701 ] CameraControl -> Close 
[ 2023-04-20 목요일 09:44:57 709 ] VideoCheck_Page -> VideoClose 
[ 2023-04-20 목요일 09:44:57 709 ] VideoAnalysis_Page -> VideoClose 
[ 2023-04-20 목요일 09:45:18 844 ] 프로그램 시작
[ 2023-04-20 목요일 09:45:21 127 ] Form1 -> Form1_Shown 
[ 2023-04-20 목요일 09:45:21 544 ] RealTimeView_Page -> PanelSettings 
[ 2023-04-20 목요일 09:45:21 841 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ 2023-04-20 목요일 09:45:21 841 ] RealTimeView_Page -> VideoSetLoad 
[ 2023-04-20 목요일 09:45:21 841 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ 2023-04-20 목요일 09:45:21 841 ] Settings_Page -> XMLSave 
[ 2023-04-20 목요일 09:45:21 841 ] CameraControl -> CameraOpen 
[ 2023-04-20 목요일 09:45:22 092 ] CameraControl -> open 
[ 2023-04-20 목요일 09:45:22 130 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-20 목요일 09:45:22 148 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-20 목요일 09:45:22 148 ] CameraControl -> Start 
[ 2023-04-20 목요일 09:45:22 195 ] CameraControl -> CameraOpen 
[ 2023-04-20 목요일 09:45:22 457 ] CameraControl -> open 
[ 2023-04-20 목요일 09:45:22 467 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-20 목요일 09:45:22 475 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-20 목요일 09:45:22 477 ] CameraControl -> Start 
[ 2023-04-20 목요일 09:45:22 739 ] CameraControl -> CameraOpen 
[ 2023-04-20 목요일 09:45:23 067 ] CameraControl -> open 
[ 2023-04-20 목요일 09:45:23 085 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-20 목요일 09:45:23 087 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-20 목요일 09:45:23 087 ] CameraControl -> Start 
[ 2023-04-20 목요일 09:45:23 158 ] VideoCheck_Page -> PanelSettings 
[ 2023-04-20 목요일 09:45:23 263 ] VideoAnalysis_Page -> PanelSettings 
[ 2023-04-20 목요일 09:45:27 965 ] Form1 -> Form1_FormClosing 
[ 2023-04-20 목요일 09:45:27 972 ] RealTimeView_Page -> CameraClose 
[ 2023-04-20 목요일 09:45:27 974 ] CameraControl -> Stop 
[ 2023-04-20 목요일 09:45:29 358 ] CameraControl -> Close 
[ 2023-04-20 목요일 09:45:29 369 ] CameraControl -> Stop 
[ 2023-04-20 목요일 09:45:30 712 ] CameraControl -> Close 
[ 2023-04-20 목요일 09:45:30 724 ] CameraControl -> Stop 
[ 2023-04-20 목요일 09:45:31 057 ] CameraControl -> Close 
[ 2023-04-20 목요일 09:45:31 064 ] VideoCheck_Page -> VideoClose 
[ 2023-04-20 목요일 09:45:31 064 ] VideoAnalysis_Page -> VideoClose 
