[ 2023-04-18 화요일 17:11:48 688 ] 프로그램 시작
[ 2023-04-18 화요일 17:11:50 997 ] Form1 -> Form1_Shown 
[ 2023-04-18 화요일 17:11:51 484 ] RealTimeView_Page -> PanelSettings 
[ 2023-04-18 화요일 17:11:51 806 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ 2023-04-18 화요일 17:11:51 806 ] RealTimeView_Page -> VideoSetLoad 
[ 2023-04-18 화요일 17:11:51 807 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ 2023-04-18 화요일 17:11:51 808 ] Settings_Page -> XMLSave 
[ 2023-04-18 화요일 17:11:51 809 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:11:52 116 ] CameraControl -> open 
[ 2023-04-18 화요일 17:11:52 145 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:11:52 160 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:11:52 171 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:11:52 228 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:11:52 508 ] CameraControl -> open 
[ 2023-04-18 화요일 17:11:52 521 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:11:52 529 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:11:52 532 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:11:52 576 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:11:52 875 ] CameraControl -> open 
[ 2023-04-18 화요일 17:11:52 894 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:11:52 904 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:11:52 907 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:11:52 971 ] Settings_Page -> XMLSave 
[ 2023-04-18 화요일 17:11:53 018 ] VideoCheck_Page -> PanelSettings 
[ 2023-04-18 화요일 17:11:53 105 ] VideoAnalysis_Page -> PanelSettings 
[ 2023-04-18 화요일 17:11:55 154 ] Form1 -> NavigationClick 
[ 2023-04-18 화요일 17:12:06 494 ] Settings_Page -> FolderOpen 
[ 2023-04-18 화요일 17:14:38 567 ] Form1 -> Form1_FormClosing 
[ 2023-04-18 화요일 17:14:38 574 ] RealTimeView_Page -> CameraClose 
[ 2023-04-18 화요일 17:14:38 578 ] CameraControl -> Stop 
[ 2023-04-18 화요일 17:14:40 008 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:14:40 040 ] CameraControl -> Stop 
[ 2023-04-18 화요일 17:14:41 374 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:14:41 391 ] CameraControl -> Stop 
[ 2023-04-18 화요일 17:14:41 725 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:14:41 739 ] VideoAnalysis_Page -> VideoClose 
[ 2023-04-18 화요일 17:14:41 911 ] CameraControl -> Finalize 
[ 2023-04-18 화요일 17:14:41 911 ] CameraControl -> Close 
