[ default 2023-04-25 화요일 09:34:53 953 ] 프로그램 시작
[ default 2023-04-25 화요일 09:34:56 631 ] Form1 -> Form1_Shown 
[ default 2023-04-25 화요일 09:34:57 481 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-25 화요일 09:34:58 045 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-25 화요일 09:34:58 047 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-25 화요일 09:34:58 049 ] CameraControl -> CameraOpen 
[ default 2023-04-25 화요일 09:34:58 413 ] CameraControl -> open 
[ default 2023-04-25 화요일 09:34:58 459 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-25 화요일 09:34:58 493 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-25 화요일 09:34:58 821 ] CameraControl -> Start 
[ default 2023-04-25 화요일 09:34:58 976 ] CameraControl -> CameraOpen 
[ default 2023-04-25 화요일 09:34:59 634 ] CameraControl -> open 
[ default 2023-04-25 화요일 09:34:59 652 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-25 화요일 09:34:59 663 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-25 화요일 09:34:59 666 ] CameraControl -> Start 
[ default 2023-04-25 화요일 09:34:59 758 ] CameraControl -> CameraOpen 
[ default 2023-04-25 화요일 09:35:00 279 ] CameraControl -> open 
[ default 2023-04-25 화요일 09:35:00 298 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-25 화요일 09:35:00 306 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-25 화요일 09:35:00 315 ] CameraControl -> Start 
[ default 2023-04-25 화요일 09:35:00 414 ] Settings_Page -> XMLSave 
[ default 2023-04-25 화요일 09:35:00 469 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-25 화요일 09:35:00 597 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-25 화요일 09:35:05 552 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:06 098 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:06 693 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:06 792 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:07 127 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:07 343 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:07 348 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:07 351 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:07 440 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:07 548 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:07 783 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:07 785 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:07 787 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:08 240 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:08 353 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:09 216 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:09 219 ] Settings_Page -> WorkUserChange 
[ default 2023-04-25 화요일 09:35:18 040 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:18 183 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:18 288 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:18 464 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:18 465 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:18 467 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:18 576 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:18 767 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:18 871 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:18 873 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:18 875 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:18 952 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:20 261 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:20 264 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-25 화요일 09:35:20 345 ] Settings_Page -> WorkUserSet 
