[ default 2023-04-26 수요일 15:35:31 043 ] 프로그램 시작
[ default 2023-04-26 수요일 15:35:33 523 ] Form1 -> Form1_Shown 
[ default 2023-04-26 수요일 15:35:34 556 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-26 수요일 15:35:34 909 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-26 수요일 15:35:34 910 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-26 수요일 15:35:34 911 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 15:35:35 166 ] CameraControl -> open 
[ default 2023-04-26 수요일 15:35:35 203 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 15:35:35 216 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 15:35:35 233 ] CameraControl -> Start 
[ default 2023-04-26 수요일 15:35:35 290 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 15:35:35 547 ] CameraControl -> open 
[ default 2023-04-26 수요일 15:35:35 557 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 15:35:35 565 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 15:35:35 568 ] CameraControl -> Start 
[ default 2023-04-26 수요일 15:35:35 651 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 15:35:36 179 ] CameraControl -> open 
[ default 2023-04-26 수요일 15:35:36 196 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 15:35:36 202 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 15:35:36 205 ] CameraControl -> Start 
[ default 2023-04-26 수요일 15:35:36 305 ] Settings_Page -> XMLSave 
[ default 2023-04-26 수요일 15:35:36 347 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-26 수요일 15:35:36 486 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-26 수요일 15:35:42 062 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:42 452 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:43 529 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:43 910 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:44 036 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:44 691 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:44 692 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:44 694 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:44 884 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:45 052 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:45 292 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:45 293 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:45 295 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:45 436 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:45 732 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:46 590 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:46 591 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 15:35:49 765 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:49 860 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:49 973 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 051 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 054 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 055 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 269 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 380 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 381 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 383 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 475 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 477 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 479 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 708 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 812 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 916 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 996 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 997 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:50 998 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:51 156 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:51 245 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:51 247 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:51 251 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:51 625 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:51 723 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:51 726 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:51 727 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:51 943 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:52 037 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:52 039 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:52 041 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:53 458 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:53 461 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 15:35:53 569 ] Settings_Page -> WorkUserSet 
[ default 2023-04-26 수요일 16:02:18 567 ] 프로그램 시작
[ default 2023-04-26 수요일 16:02:20 961 ] Form1 -> Form1_Shown 
[ default 2023-04-26 수요일 16:02:21 533 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:02:21 870 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-26 수요일 16:02:21 871 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-26 수요일 16:02:21 873 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:02:22 140 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:02:22 172 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:02:22 185 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:02:22 197 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:02:22 249 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:02:22 588 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:02:22 602 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:02:22 611 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:02:22 615 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:02:22 712 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:02:23 060 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:02:23 080 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:02:23 089 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:02:23 091 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:02:23 198 ] Settings_Page -> XMLSave 
[ default 2023-04-26 수요일 16:02:23 239 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:02:23 350 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:02:29 539 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:30 139 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:30 743 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:30 819 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:30 963 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:31 675 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:31 677 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:31 678 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:31 795 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:31 843 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:32 010 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:32 012 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:32 013 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:32 124 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:32 204 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:32 420 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:32 423 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:02:32 819 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:32 915 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 002 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 075 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 076 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 078 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 267 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 323 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 324 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 325 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 433 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 436 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 437 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 676 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 795 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 891 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 970 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 972 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:33 973 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:34 124 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:34 194 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:34 196 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:34 197 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:02:34 467 ] Settings_Page -> WorkTargetChange 
