[ default 2023-04-27 목요일 09:16:02 213 ] 프로그램 시작
[ default 2023-04-27 목요일 09:16:04 711 ] Form1 -> Form1_Shown 
[ default 2023-04-27 목요일 09:16:05 372 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:16:05 821 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-27 목요일 09:16:05 822 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-27 목요일 09:16:05 823 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 09:16:06 069 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:16:06 099 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:16:06 112 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:16:06 123 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:16:06 187 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 09:16:06 452 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:16:06 464 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:16:06 471 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:16:06 475 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:16:06 514 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 09:16:06 901 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:16:06 913 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:16:06 927 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:16:06 932 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:16:07 066 ] Settings_Page -> XMLSave 
[ default 2023-04-27 목요일 09:16:07 110 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:16:07 224 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:16:12 486 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:16:12 569 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:16:13 985 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:16:14 128 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:16:14 664 ] Settings_Page -> WorkUserChange 
