[ default 2023-04-28 금요일 09:31:22 344 ] 프로그램 시작
[ default 2023-04-28 금요일 09:31:24 796 ] Form1 -> Form1_Shown 
[ default 2023-04-28 금요일 09:31:25 846 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-28 금요일 09:31:26 230 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-28 금요일 09:31:26 231 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-28 금요일 09:31:26 233 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-04-28 금요일 09:31:26 234 ] Settings_Page -> XMLSave 
[ default 2023-04-28 금요일 09:31:26 235 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 09:31:26 526 ] CameraControl -> open 
[ default 2023-04-28 금요일 09:31:26 557 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 09:31:26 569 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 09:31:26 583 ] CameraControl -> Start 
[ default 2023-04-28 금요일 09:31:26 641 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 09:31:26 909 ] CameraControl -> open 
[ default 2023-04-28 금요일 09:31:26 920 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 09:31:26 928 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 09:31:26 931 ] CameraControl -> Start 
[ default 2023-04-28 금요일 09:31:27 034 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 09:31:27 556 ] CameraControl -> open 
[ default 2023-04-28 금요일 09:31:27 598 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 09:31:27 610 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 09:31:27 616 ] CameraControl -> Start 
[ default 2023-04-28 금요일 09:31:27 728 ] Settings_Page -> XMLSave 
[ default 2023-04-28 금요일 09:31:27 781 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-28 금요일 09:31:28 054 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-28 금요일 09:31:32 903 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:33 007 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:33 349 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:33 717 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:33 723 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:33 725 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:33 821 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:33 885 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:34 093 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:34 095 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:34 097 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:34 198 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:34 325 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:34 919 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:34 922 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 09:31:35 287 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 09:31:35 405 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 09:31:35 753 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 09:31:35 813 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 09:31:35 815 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 09:31:35 817 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 09:31:37 562 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 09:31:37 565 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 09:31:37 982 ] Settings_Page -> WorkUserSet 
[ default 2023-04-28 금요일 13:41:01 815 ] 프로그램 시작
[ default 2023-04-28 금요일 13:41:04 245 ] Form1 -> Form1_Shown 
[ default 2023-04-28 금요일 13:41:05 022 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-28 금요일 13:41:05 445 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-28 금요일 13:41:05 446 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-28 금요일 13:41:05 447 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-04-28 금요일 13:41:05 448 ] Settings_Page -> XMLSave 
[ default 2023-04-28 금요일 13:41:05 449 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 13:41:05 726 ] CameraControl -> open 
[ default 2023-04-28 금요일 13:41:05 765 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 13:41:05 781 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 13:41:05 791 ] CameraControl -> Start 
[ default 2023-04-28 금요일 13:41:05 888 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 13:41:06 278 ] CameraControl -> open 
[ default 2023-04-28 금요일 13:41:06 345 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 13:41:06 357 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 13:41:06 362 ] CameraControl -> Start 
[ default 2023-04-28 금요일 13:41:06 506 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 13:41:06 927 ] CameraControl -> open 
[ default 2023-04-28 금요일 13:41:06 969 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 13:41:06 981 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 13:41:06 990 ] CameraControl -> Start 
[ default 2023-04-28 금요일 13:41:07 105 ] Settings_Page -> XMLSave 
[ default 2023-04-28 금요일 13:41:07 169 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-28 금요일 13:41:07 451 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-28 금요일 13:43:47 893 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:47 970 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:48 066 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:48 345 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:48 350 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:48 352 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:48 481 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:48 521 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:48 713 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:48 714 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:48 716 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:48 809 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:48 898 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:49 100 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:49 102 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 13:43:49 555 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 13:43:49 641 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 13:43:49 789 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 13:43:49 929 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 13:43:49 931 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 13:43:49 933 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 13:43:51 437 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 13:43:51 441 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 13:43:51 538 ] Settings_Page -> WorkUserSet 
[ default 2023-04-28 금요일 13:52:14 885 ] 프로그램 시작
[ default 2023-04-28 금요일 13:52:17 325 ] Form1 -> Form1_Shown 
[ default 2023-04-28 금요일 13:52:17 946 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-28 금요일 13:52:18 354 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-28 금요일 13:52:18 355 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-28 금요일 13:52:18 356 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-04-28 금요일 13:52:18 357 ] Settings_Page -> XMLSave 
[ default 2023-04-28 금요일 13:52:18 358 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 13:52:18 424 ] CameraControl -> CameraOpen There is no available device.
[ default 2023-04-28 금요일 13:52:21 649 ] Form1 -> Form1_Shown 
[ default 2023-04-28 금요일 13:52:21 651 ] Form1 -> Form1_FormClosing 
[ default 2023-04-28 금요일 13:52:21 666 ] RealTimeView_Page -> CameraClose 
[ default 2023-04-28 금요일 13:52:21 668 ] CameraControl -> Stop 
[ default 2023-04-28 금요일 13:52:21 668 ] CameraControl -> Close 
[ default 2023-04-28 금요일 13:52:21 668 ] CameraControl -> Stop 
[ default 2023-04-28 금요일 13:52:21 669 ] CameraControl -> Close 
[ default 2023-04-28 금요일 13:52:21 670 ] CameraControl -> Stop 
[ default 2023-04-28 금요일 13:52:21 670 ] CameraControl -> Close 
[ default 2023-04-28 금요일 13:52:21 958 ] CameraControl -> Finalize 
[ default 2023-04-28 금요일 13:52:21 959 ] CameraControl -> Close 
[ default 2023-04-28 금요일 13:52:21 965 ] CameraControl -> Finalize 
[ default 2023-04-28 금요일 13:52:21 965 ] CameraControl -> Close 
[ default 2023-04-28 금요일 13:52:21 966 ] CameraControl -> Finalize 
[ default 2023-04-28 금요일 13:52:21 966 ] CameraControl -> Close 
[ default 2023-04-28 금요일 13:53:22 491 ] 프로그램 시작
[ default 2023-04-28 금요일 13:53:24 852 ] Form1 -> Form1_Shown 
[ default 2023-04-28 금요일 13:53:25 582 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-28 금요일 13:53:25 945 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-28 금요일 13:53:25 946 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-28 금요일 13:53:25 948 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-04-28 금요일 13:53:25 949 ] Settings_Page -> XMLSave 
[ default 2023-04-28 금요일 13:53:25 951 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 13:53:26 238 ] CameraControl -> open 
[ default 2023-04-28 금요일 13:53:26 276 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 13:53:26 293 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 13:53:26 386 ] CameraControl -> Start 
[ default 2023-04-28 금요일 13:53:26 441 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 13:53:26 816 ] CameraControl -> open 
[ default 2023-04-28 금요일 13:53:26 828 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 13:53:26 839 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 13:53:26 842 ] CameraControl -> Start 
[ default 2023-04-28 금요일 13:53:26 903 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 13:53:27 430 ] CameraControl -> open 
[ default 2023-04-28 금요일 13:53:27 488 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 13:53:27 502 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 13:53:27 506 ] CameraControl -> Start 
[ default 2023-04-28 금요일 13:53:27 668 ] Settings_Page -> XMLSave 
[ default 2023-04-28 금요일 13:53:27 726 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-28 금요일 13:53:27 902 ] VideoAnalysis_Page -> PanelSettings 
