[  2023-05-03 수요일 17:08:50 517 ] 파일 생성 성공
[ default 2023-05-03 수요일 17:08:50 515 ] 프로그램 시작
[ default 2023-05-03 수요일 17:08:52 814 ] Form1 -> Form1_Shown 
[ default 2023-05-03 수요일 17:08:53 320 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-03 수요일 17:08:53 619 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-03 수요일 17:08:53 620 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-03 수요일 17:08:53 622 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-03 수요일 17:08:53 623 ] Settings_Page -> XMLSave 
[ default 2023-05-03 수요일 17:08:53 624 ] CameraControl -> CameraOpen 
[ default 2023-05-03 수요일 17:08:53 885 ] CameraControl -> open 
[ default 2023-05-03 수요일 17:08:53 919 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-03 수요일 17:08:53 936 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-03 수요일 17:08:53 946 ] CameraControl -> Start 
[ default 2023-05-03 수요일 17:08:54 027 ] CameraControl -> CameraOpen 
[ default 2023-05-03 수요일 17:08:54 319 ] CameraControl -> open 
[ default 2023-05-03 수요일 17:08:54 332 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-03 수요일 17:08:54 338 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-03 수요일 17:08:54 344 ] CameraControl -> Start 
[ default 2023-05-03 수요일 17:08:54 400 ] CameraControl -> CameraOpen 
[ default 2023-05-03 수요일 17:08:54 820 ] CameraControl -> open 
[ default 2023-05-03 수요일 17:08:54 837 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-03 수요일 17:08:54 849 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-03 수요일 17:08:54 852 ] CameraControl -> Start 
[ default 2023-05-03 수요일 17:08:55 025 ] Settings_Page -> XMLSave 
[ default 2023-05-03 수요일 17:08:55 067 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-03 수요일 17:08:55 199 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-03 수요일 17:09:10 335 ] Form1 -> Form1_FormClosing 
[ default 2023-05-03 수요일 17:09:10 350 ] RealTimeView_Page -> CameraClose 
[ default 2023-05-03 수요일 17:09:10 352 ] CameraControl -> Stop 
[ default 2023-05-03 수요일 17:09:11 754 ] CameraControl -> Close 
[ default 2023-05-03 수요일 17:09:11 771 ] CameraControl -> Stop 
[ default 2023-05-03 수요일 17:09:13 085 ] CameraControl -> Close 
[ default 2023-05-03 수요일 17:09:13 097 ] CameraControl -> Stop 
[ default 2023-05-03 수요일 17:09:13 452 ] CameraControl -> Close 
[ default 2023-05-03 수요일 17:09:13 471 ] VideoCheck_Page -> VideoClose 
[ default 2023-05-03 수요일 17:09:13 474 ] VideoAnalysis_Page -> VideoClose 
[ default 2023-05-03 수요일 17:10:01 239 ] 프로그램 시작
[ default 2023-05-03 수요일 17:10:03 572 ] Form1 -> Form1_Shown 
[ default 2023-05-03 수요일 17:10:04 046 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-03 수요일 17:10:04 335 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-03 수요일 17:10:04 336 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-03 수요일 17:10:04 338 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-03 수요일 17:10:04 339 ] Settings_Page -> XMLSave 
[ default 2023-05-03 수요일 17:10:04 340 ] CameraControl -> CameraOpen 
[ default 2023-05-03 수요일 17:10:04 613 ] CameraControl -> open 
[ default 2023-05-03 수요일 17:10:04 643 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-03 수요일 17:10:04 657 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-03 수요일 17:10:04 667 ] CameraControl -> Start 
[ default 2023-05-03 수요일 17:10:04 716 ] CameraControl -> CameraOpen 
[ default 2023-05-03 수요일 17:10:05 100 ] CameraControl -> open 
[ default 2023-05-03 수요일 17:10:05 110 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-03 수요일 17:10:05 117 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-03 수요일 17:10:05 120 ] CameraControl -> Start 
[ default 2023-05-03 수요일 17:10:05 210 ] CameraControl -> CameraOpen 
[ default 2023-05-03 수요일 17:10:06 873 ] CameraControl -> open 
[ default 2023-05-03 수요일 17:10:06 900 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-03 수요일 17:10:06 908 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-03 수요일 17:10:06 911 ] CameraControl -> Start 
[ default 2023-05-03 수요일 17:10:07 171 ] Settings_Page -> XMLSave 
[ default 2023-05-03 수요일 17:10:07 205 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-03 수요일 17:10:07 291 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-03 수요일 17:10:23 064 ] Settings_Page -> WorkUserChange 
[ default 2023-05-03 수요일 17:10:23 995 ] Settings_Page -> WorkUserChange 
[ default 2023-05-03 수요일 17:10:24 148 ] Settings_Page -> WorkUserChange 
[ default 2023-05-03 수요일 17:10:24 530 ] Settings_Page -> WorkUserChange 
[ default 2023-05-03 수요일 17:10:24 534 ] Settings_Page -> WorkUserChange 
