[  2023-05-15 월요일 09:07:38 223 ] 파일 생성 성공
[ default 2023-05-15 월요일 09:07:38 222 ] 프로그램 시작
[ default 2023-05-15 월요일 09:07:40 587 ] Form1 -> Form1_Shown 
[ default 2023-05-15 월요일 09:07:41 061 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-15 월요일 09:07:41 488 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-15 월요일 09:07:41 489 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-15 월요일 09:07:41 491 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-15 월요일 09:07:41 492 ] Settings_Page -> XMLSave 
[ default 2023-05-15 월요일 09:07:44 758 ] Form1 -> Form1_Shown 
[ default 2023-05-15 월요일 09:07:44 800 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-15 월요일 09:07:44 953 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-15 월요일 09:07:50 720 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:51 013 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:51 669 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:51 779 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:51 894 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:52 083 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:52 089 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:52 090 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:52 180 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:52 262 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:52 418 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:52 421 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:52 422 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:52 529 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:52 624 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:52 833 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:52 835 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 09:07:54 034 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 09:07:54 150 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 09:07:54 265 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 09:07:54 348 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 09:07:54 363 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 09:07:54 369 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 09:07:54 595 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 09:07:54 599 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 09:07:56 242 ] Settings_Page -> WorkUserSet 
[ default 2023-05-15 월요일 12:58:21 129 ] 프로그램 시작
[ default 2023-05-15 월요일 12:58:23 579 ] Form1 -> Form1_Shown 
[ default 2023-05-15 월요일 12:58:24 004 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-15 월요일 12:58:24 377 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-15 월요일 12:58:24 378 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-15 월요일 12:58:24 379 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-15 월요일 12:58:24 380 ] Settings_Page -> XMLSave 
[ default 2023-05-15 월요일 12:58:27 166 ] Form1 -> Form1_Shown 
[ default 2023-05-15 월요일 12:58:27 270 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-15 월요일 12:58:27 403 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-15 월요일 12:58:30 868 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 12:58:31 078 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 12:58:31 234 ] Settings_Page -> WorkUserChange 
