[  2023-05-18 목요일 09:50:31 266 ] 파일 생성 성공
[ default 2023-05-18 목요일 09:50:31 264 ] 프로그램 시작
[ default 2023-05-18 목요일 09:50:34 582 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 09:50:36 239 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-18 목요일 09:50:38 127 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-18 목요일 09:50:38 146 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-18 목요일 09:50:38 155 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-18 목요일 09:50:38 177 ] Settings_Page -> XMLSave 
[ default 2023-05-18 목요일 09:50:41 953 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 09:50:42 109 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-18 목요일 09:50:42 571 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-18 목요일 09:51:44 566 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 09:51:44 588 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 09:51:44 616 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 09:51:44 618 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 09:51:44 946 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 09:51:44 960 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 09:51:45 067 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 09:51:45 167 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 09:51:45 178 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 09:51:45 182 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 09:51:45 589 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 09:51:45 603 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 09:51:45 616 ] Settings_Page -> WorkUserSet 
[ default 2023-05-18 목요일 14:36:06 743 ] 프로그램 시작
[ default 2023-05-18 목요일 14:36:09 158 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 14:36:09 714 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-18 목요일 14:36:10 145 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-18 목요일 14:36:10 145 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-18 목요일 14:36:10 147 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-18 목요일 14:36:10 148 ] Settings_Page -> XMLSave 
