[  2023-08-30 수요일 11:52:03 535 ] 파일 생성 성공
[ 43] 2023-08-30 수요일 11:52:03 535 ] Settings_Page -> XMLSave 
[ 43] 2023-08-30 수요일 11:52:05 882 ] Form1 -> NavigationClick 
[ 43] 2023-08-30 수요일 11:52:05 999 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ 43] 2023-08-30 수요일 11:52:07 973 ] VideoCheck_Page -> VideoCheck_ButtonActions 
[ 43] 2023-08-30 수요일 11:52:08 076 ] VideoCheck_Page -> VideoCheck_FileOpen 
[ 43] 2023-08-30 수요일 11:52:48 316 ] VideoCheck_Page -> VideoCheck_CamActions 
[ 43] 2023-08-30 수요일 11:52:48 781 ] VideoCheck_Page -> VideoCheck_CamActions 
[ 43] 2023-08-30 수요일 11:52:49 788 ] Form1 -> Form1_FormClosing 
[ 43] 2023-08-30 수요일 11:52:49 796 ] RealTimeView_Page -> CameraClose 
[ 43] 2023-08-30 수요일 11:52:49 799 ] CameraControl -> Stop 
[ 43] 2023-08-30 수요일 11:52:51 123 ] CameraControl -> Close 
[ 43] 2023-08-30 수요일 11:52:51 155 ] CameraControl -> Stop 
[ 43] 2023-08-30 수요일 11:52:51 155 ] CameraControl -> Close 
[ 43] 2023-08-30 수요일 11:52:51 156 ] CameraControl -> Stop 
[ 43] 2023-08-30 수요일 11:52:51 156 ] CameraControl -> Close 
[ 43] 2023-08-30 수요일 11:52:51 157 ] VideoCheck_Page -> VideoClose 
[ 43] 2023-08-30 수요일 11:52:51 158 ] VideoAnalysis_Page -> VideoClose 
[ 43] 2023-08-30 수요일 11:52:51 781 ] CameraControl -> Finalize 
[ 43] 2023-08-30 수요일 11:52:51 781 ] CameraControl -> Close 
[ 43] 2023-08-30 수요일 11:52:51 792 ] CameraControl -> Finalize 
[ 43] 2023-08-30 수요일 11:52:51 792 ] CameraControl -> Close 
[ 43] 2023-08-30 수요일 11:52:51 793 ] CameraControl -> Finalize 
[ 43] 2023-08-30 수요일 11:52:51 793 ] CameraControl -> Close 
