[  2023-05-09 화요일 17:20:46 278 ] 파일 생성 성공
[ 99 2023-05-09 화요일 17:20:46 277 ] Settings_Page -> XMLSave 
[ 99 2023-05-09 화요일 17:20:55 114 ] Form1 -> NavigationClick 
[ 99 2023-05-09 화요일 17:20:55 375 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ 99 2023-05-09 화요일 17:20:57 127 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:20:57 153 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 99 2023-05-09 화요일 17:21:01 374 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:21:01 389 ] VideoAnalysis_Page -> VideoCheck_FileOpen2 
[ 99 2023-05-09 화요일 17:21:26 313 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:21:26 314 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 99 2023-05-09 화요일 17:21:35 722 ] VideoAnalysis_Page -> FilterClick 
[ 99 2023-05-09 화요일 17:21:37 383 ] VideoAnalysis_Page -> FilterClick 
[ 99 2023-05-09 화요일 17:21:39 547 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:21:39 548 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:21:42 440 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:21:42 447 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:23:05 423 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:23:05 424 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:23:06 313 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:23:06 314 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:23:43 843 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:23:43 844 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:25:03 989 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:25:03 990 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:26:17 024 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:26:17 025 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:26:22 310 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:26:22 311 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:27:27 920 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:27:27 921 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:27:47 013 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:27:47 014 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:27:59 839 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:27:59 845 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:28:00 796 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:28:00 799 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:28:05 397 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:28:05 398 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:28:06 989 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:28:06 989 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:28:26 696 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:28:26 701 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:28:27 123 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:28:27 124 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:34:46 967 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:34:46 968 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:35:03 264 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:35:03 265 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:35:24 238 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:35:24 253 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:35:26 186 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:35:26 187 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:35:46 857 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:35:46 858 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:35:56 004 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:35:56 004 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:36:04 822 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:36:04 827 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:36:06 228 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:36:06 229 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:36:51 491 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:36:51 493 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:36:57 543 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:36:57 544 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:45:03 699 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 99 2023-05-09 화요일 17:45:03 700 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 99 2023-05-09 화요일 17:45:57 316 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 99 2023-05-09 화요일 17:45:57 317 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 99 2023-05-09 화요일 17:46:16 536 ] VideoAnalysis_Page -> FilterClick 
[ 99 2023-05-09 화요일 17:46:21 426 ] VideoAnalysis_Page -> FilterClick 
[ 99 2023-05-09 화요일 17:46:23 551 ] VideoAnalysis_Page -> FilterClick 
[ 99 2023-05-09 화요일 17:46:26 040 ] VideoAnalysis_Page -> FilterClick 
[ 99 2023-05-09 화요일 17:46:27 361 ] VideoAnalysis_Page -> FilterClick 
