[  2023-09-13 수요일 10:52:54 617 ] 파일 생성 성공
[ 33 2023-09-13 수요일 10:52:54 616 ] Settings_Page -> XMLSave 
[ 33 2023-09-13 수요일 10:52:55 554 ] Form1 -> NavigationClick 
[ 33 2023-09-13 수요일 10:52:55 673 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ 33 2023-09-13 수요일 10:52:57 674 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 33 2023-09-13 수요일 10:52:57 747 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 33 2023-09-13 수요일 10:53:03 415 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 33 2023-09-13 수요일 10:53:03 415 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 33 2023-09-13 수요일 10:53:10 272 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 33 2023-09-13 수요일 10:53:10 273 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 33 2023-09-13 수요일 10:53:12 270 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:53:15 403 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:53:17 148 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:53:18 928 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:53:20 077 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:53:21 113 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:55:41 084 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:55:42 552 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:55:44 998 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:55:46 875 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:55:48 651 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:55:57 345 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:56:09 630 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:56:10 995 ] VideoAnalysis_Page -> FilterClick 
[ 33 2023-09-13 수요일 10:57:43 536 ] Form1 -> Form1_FormClosing 
[ 33 2023-09-13 수요일 10:57:43 549 ] RealTimeView_Page -> CameraClose 
[ 33 2023-09-13 수요일 10:57:43 552 ] CameraControl -> Stop 
[ 33 2023-09-13 수요일 10:57:43 662 ] CameraControl -> Close 
[ 33 2023-09-13 수요일 10:57:43 703 ] CameraControl -> Stop 
[ 33 2023-09-13 수요일 10:57:43 703 ] CameraControl -> Close 
[ 33 2023-09-13 수요일 10:57:43 704 ] CameraControl -> Stop 
[ 33 2023-09-13 수요일 10:57:43 705 ] CameraControl -> Close 
[ 33 2023-09-13 수요일 10:57:43 706 ] VideoCheck_Page -> VideoClose 
[ 33 2023-09-13 수요일 10:57:43 706 ] VideoAnalysis_Page -> VideoClose 
[ 33 2023-09-13 수요일 10:57:44 032 ] CameraControl -> Finalize 
[ 33 2023-09-13 수요일 10:57:44 033 ] CameraControl -> Close 
[ 33 2023-09-13 수요일 10:57:44 040 ] CameraControl -> Finalize 
[ 33 2023-09-13 수요일 10:57:44 040 ] CameraControl -> Close 
[ 33 2023-09-13 수요일 10:57:44 041 ] CameraControl -> Finalize 
[ 33 2023-09-13 수요일 10:57:44 041 ] CameraControl -> Close 
