[  2023-07-17 월요일 10:05:45 473 ] 파일 생성 성공
[ ㅇㅇ 2023-07-17 월요일 10:05:45 472 ] Settings_Page -> XMLSave 
[ ㅇㅇ 2023-07-17 월요일 10:05:48 836 ] Form1 -> NavigationClick 
[ ㅇㅇ 2023-07-17 월요일 10:05:49 052 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅇㅇ 2023-07-17 월요일 10:05:51 667 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅇㅇ 2023-07-17 월요일 10:05:51 752 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅇㅇ 2023-07-17 월요일 10:06:02 262 ] VideoAnalysis_Page -> FilterClick 
[ ㅇㅇ 2023-07-17 월요일 10:06:04 735 ] VideoAnalysis_Page -> FilterClick 
[ ㅇㅇ 2023-07-17 월요일 10:06:07 389 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅇㅇ 2023-07-17 월요일 10:06:07 389 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅇㅇ 2023-07-17 월요일 10:06:18 858 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅇㅇ 2023-07-17 월요일 10:06:18 859 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅇㅇ 2023-07-17 월요일 10:06:27 582 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅇㅇ 2023-07-17 월요일 10:06:27 582 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅇㅇ 2023-07-17 월요일 10:06:33 692 ] Form1 -> NavigationClick 
[ ㅇㅇ 2023-07-17 월요일 10:06:33 703 ] VideoAnalysis_Page -> PageChange 
[ ㅇㅇ 2023-07-17 월요일 10:06:33 980 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ ㅇㅇ 2023-07-17 월요일 12:54:13 107 ] Form1 -> Form1_FormClosing 
[ ㅇㅇ 2023-07-17 월요일 12:54:13 120 ] RealTimeView_Page -> CameraClose 
[ ㅇㅇ 2023-07-17 월요일 12:54:13 136 ] CameraControl -> Stop 
[ ㅇㅇ 2023-07-17 월요일 12:54:13 574 ] CameraControl -> Close 
[ ㅇㅇ 2023-07-17 월요일 12:54:13 625 ] CameraControl -> Stop 
[ ㅇㅇ 2023-07-17 월요일 12:54:13 625 ] CameraControl -> Close 
[ ㅇㅇ 2023-07-17 월요일 12:54:13 625 ] CameraControl -> Stop 
[ ㅇㅇ 2023-07-17 월요일 12:54:13 626 ] CameraControl -> Close 
[ ㅇㅇ 2023-07-17 월요일 12:54:13 626 ] VideoCheck_Page -> VideoClose 
[ ㅇㅇ 2023-07-17 월요일 12:54:13 628 ] VideoAnalysis_Page -> VideoClose 
[ ㅇㅇ 2023-07-17 월요일 12:54:14 231 ] CameraControl -> Finalize 
[ ㅇㅇ 2023-07-17 월요일 12:54:14 231 ] CameraControl -> Close 
[ ㅇㅇ 2023-07-17 월요일 12:54:14 240 ] CameraControl -> Finalize 
[ ㅇㅇ 2023-07-17 월요일 12:54:14 240 ] CameraControl -> Close 
[ ㅇㅇ 2023-07-17 월요일 12:54:14 243 ] CameraControl -> Finalize 
[ ㅇㅇ 2023-07-17 월요일 12:54:14 243 ] CameraControl -> Close 
