[  2023-05-09 화요일 16:42:18 676 ] 파일 생성 성공
[ ㅏㅏ 2023-05-09 화요일 16:42:18 675 ] Settings_Page -> XMLSave 
[ ㅏㅏ 2023-05-09 화요일 16:42:20 530 ] Form1 -> NavigationClick 
[ ㅏㅏ 2023-05-09 화요일 16:42:20 780 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅏㅏ 2023-05-09 화요일 16:42:22 517 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-09 화요일 16:42:22 561 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅏㅏ 2023-05-09 화요일 16:42:42 318 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-09 화요일 16:42:42 320 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-09 화요일 16:46:00 177 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-09 화요일 16:46:00 180 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-09 화요일 16:50:59 256 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-09 화요일 16:50:59 258 ] VideoAnalysis_Page -> VideoCheck_Play1 
