[  2023-05-22 월요일 10:16:05 865 ] 파일 생성 성공
[ ㅏㅏ 2023-05-22 월요일 10:16:05 865 ] Settings_Page -> XMLSave 
[ ㅏㅏ 2023-05-22 월요일 10:16:07 341 ] Form1 -> NavigationClick 
[ ㅏㅏ 2023-05-22 월요일 10:16:11 238 ] Form1 -> NavigationClick 
[ ㅏㅏ 2023-05-22 월요일 10:16:11 556 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ ㅏㅏ 2023-05-22 월요일 10:16:13 099 ] Form1 -> NavigationClick 
[ ㅏㅏ 2023-05-22 월요일 10:16:13 100 ] VideoCheck_Page -> PageChange 
[ ㅏㅏ 2023-05-22 월요일 10:16:13 238 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅏㅏ 2023-05-22 월요일 10:16:14 914 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 10:16:14 931 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅏㅏ 2023-05-22 월요일 10:16:26 291 ] VideoAnalysis_Page -> FilterClick 
[ ㅏㅏ 2023-05-22 월요일 10:31:07 895 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 10:31:07 897 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 10:31:11 825 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 10:31:11 825 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 10:31:37 607 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 10:31:37 607 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅏㅏ 2023-05-22 월요일 10:31:46 991 ] VideoAnalysis_Page -> VideoCheck_FileClose1 
[ ㅏㅏ 2023-05-22 월요일 10:31:48 033 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 10:31:48 036 ] VideoAnalysis_Page -> VideoCheck_FileOpen2 
[ ㅏㅏ 2023-05-22 월요일 10:31:58 622 ] VideoAnalysis_Page -> FilterClick 
[ ㅏㅏ 2023-05-22 월요일 10:33:36 812 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 10:33:36 813 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅏㅏ 2023-05-22 월요일 10:33:58 641 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 10:33:58 641 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 10:34:57 782 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 10:34:57 783 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 10:40:44 804 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 10:40:44 805 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 11:35:04 980 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 11:35:04 982 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 11:35:27 040 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 11:35:27 040 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 14:15:59 469 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 14:15:59 471 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 14:16:17 441 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 14:16:17 442 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 14:16:25 630 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 14:16:25 631 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 14:16:28 902 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 14:16:28 912 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 14:17:18 758 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 14:17:18 758 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 14:17:20 022 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 14:17:20 024 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 14:17:37 872 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 14:17:37 873 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 14:20:07 459 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 14:20:07 459 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 14:29:04 741 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 14:29:04 742 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 14:29:06 045 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 14:29:06 046 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 14:38:50 454 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 14:38:50 454 ] VideoAnalysis_Page -> VideoCheck_Play2 
