[  2023-05-31 수요일 17:43:28 732 ] 파일 생성 성공
[ ㅏㅏ 2023-05-31 수요일 17:43:28 731 ] Settings_Page -> XMLSave 
[ ㅏㅏ 2023-05-31 수요일 17:43:30 256 ] Form1 -> NavigationClick 
[ ㅏㅏ 2023-05-31 수요일 17:43:30 488 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅏㅏ 2023-05-31 수요일 17:43:32 608 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-31 수요일 17:43:32 623 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅏㅏ 2023-05-31 수요일 17:43:38 560 ] VideoAnalysis_Page -> FilterClick 
[ ㅏㅏ 2023-05-31 수요일 17:43:45 838 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-31 수요일 17:43:45 845 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-31 수요일 17:43:55 779 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-31 수요일 17:43:55 783 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-31 수요일 17:58:59 801 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-31 수요일 17:58:59 815 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-31 수요일 17:59:04 716 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-31 수요일 17:59:04 716 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-31 수요일 17:59:08 021 ] Form1 -> Form1_FormClosing 
[ ㅏㅏ 2023-05-31 수요일 17:59:08 033 ] RealTimeView_Page -> CameraClose 
[ ㅏㅏ 2023-05-31 수요일 17:59:08 038 ] CameraControl -> Stop 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 402 ] CameraControl -> Close 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 423 ] CameraControl -> Stop 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 423 ] CameraControl -> Close 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 423 ] CameraControl -> Stop 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 423 ] CameraControl -> Close 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 423 ] VideoCheck_Page -> VideoClose 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 426 ] VideoAnalysis_Page -> VideoClose 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 785 ] CameraControl -> Finalize 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 785 ] CameraControl -> Close 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 803 ] CameraControl -> Finalize 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 803 ] CameraControl -> Close 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 803 ] CameraControl -> Finalize 
[ ㅏㅏ 2023-05-31 수요일 17:59:09 803 ] CameraControl -> Close 
