[  2023-06-14 수요일 09:03:35 090 ] 파일 생성 성공
[ ㅏㅏㅏ 2023-06-14 수요일 09:03:35 089 ] Settings_Page -> XMLSave 
[ ㅏㅏㅏ 2023-06-14 수요일 09:03:40 101 ] Form1 -> NavigationClick 
[ ㅏㅏㅏ 2023-06-14 수요일 09:03:42 838 ] Form1 -> NavigationClick 
[ ㅏㅏㅏ 2023-06-14 수요일 09:03:42 838 ] VideoAnalysis_Page -> PageChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:03:52 615 ] Settings_Page -> WorkUserReWrite 
[ ㅏㅏㅏ 2023-06-14 수요일 09:03:52 628 ] Settings_Page -> WorkUserChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:03:52 629 ] Settings_Page -> WorkTargetChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:03 776 ] Settings_Page -> WorkUserChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:03 920 ] Settings_Page -> WorkUserChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:03 921 ] Settings_Page -> WorkUserChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:03 922 ] Settings_Page -> WorkUserChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:04 048 ] Settings_Page -> WorkUserChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:04 050 ] Settings_Page -> WorkUserChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:04 184 ] Settings_Page -> WorkTargetChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:04 296 ] Settings_Page -> WorkTargetChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:04 297 ] Settings_Page -> WorkTargetChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:04 297 ] Settings_Page -> WorkTargetChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:06 937 ] Settings_Page -> WorkTargetChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:06 948 ] Settings_Page -> WorkTargetChange 
[ ㅏㅏㅏ 2023-06-14 수요일 09:04:11 117 ] Settings_Page -> WorkUserSet 
