[  2023-05-09 화요일 13:34:26 244 ] 파일 생성 성공
[ ㅑㅑ 2023-05-09 화요일 13:34:26 244 ] Settings_Page -> XMLSave 
[ ㅑㅑ 2023-05-09 화요일 13:34:27 488 ] Form1 -> NavigationClick 
[ ㅑㅑ 2023-05-09 화요일 13:34:27 871 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅑㅑ 2023-05-09 화요일 13:34:29 919 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅑㅑ 2023-05-09 화요일 13:34:30 008 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅑㅑ 2023-05-09 화요일 13:34:34 394 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅑㅑ 2023-05-09 화요일 13:34:34 395 ] VideoAnalysis_Page -> VideoCheck_FileOpen2 
[ ㅑㅑ 2023-05-09 화요일 13:34:46 095 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅑㅑ 2023-05-09 화요일 13:34:46 098 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅑㅑ 2023-05-09 화요일 13:34:47 297 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅑㅑ 2023-05-09 화요일 13:34:47 306 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅑㅑ 2023-05-09 화요일 13:34:49 419 ] VideoAnalysis_Page -> FilterClick 
[ ㅑㅑ 2023-05-09 화요일 13:34:55 610 ] VideoAnalysis_Page -> FilterClick 
[ ㅑㅑ 2023-05-09 화요일 13:45:48 221 ] Form1 -> Form1_FormClosing 
[ ㅑㅑ 2023-05-09 화요일 13:45:48 235 ] RealTimeView_Page -> CameraClose 
[ ㅑㅑ 2023-05-09 화요일 13:45:48 252 ] CameraControl -> Stop 
[ ㅑㅑ 2023-05-09 화요일 13:45:49 671 ] CameraControl -> Close 
[ ㅑㅑ 2023-05-09 화요일 13:45:49 742 ] CameraControl -> Stop 
[ ㅑㅑ 2023-05-09 화요일 13:45:51 046 ] CameraControl -> Close 
[ ㅑㅑ 2023-05-09 화요일 13:45:51 088 ] CameraControl -> Stop 
[ ㅑㅑ 2023-05-09 화요일 13:45:51 413 ] CameraControl -> Close 
[ ㅑㅑ 2023-05-09 화요일 13:45:51 457 ] VideoCheck_Page -> VideoClose 
[ ㅑㅑ 2023-05-09 화요일 13:45:51 459 ] VideoAnalysis_Page -> VideoClose 
[ ㅑㅑ 2023-05-09 화요일 13:45:51 875 ] CameraControl -> Finalize 
[ ㅑㅑ 2023-05-09 화요일 13:45:51 875 ] CameraControl -> Close 
[ ㅑㅑ 2023-05-09 화요일 13:45:51 895 ] CameraControl -> Finalize 
[ ㅑㅑ 2023-05-09 화요일 13:45:51 896 ] CameraControl -> Close 
[ ㅑㅑ 2023-05-09 화요일 13:45:51 901 ] CameraControl -> Finalize 
[ ㅑㅑ 2023-05-09 화요일 13:45:51 902 ] CameraControl -> Close 
[ ㅑㅑ 2023-05-09 화요일 13:46:22 025 ] Settings_Page -> XMLSave 
[ ㅑㅑ 2023-05-09 화요일 13:46:27 051 ] Form1 -> NavigationClick 
[ ㅑㅑ 2023-05-09 화요일 13:46:27 393 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅑㅑ 2023-05-09 화요일 13:46:29 900 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅑㅑ 2023-05-09 화요일 13:46:29 932 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅑㅑ 2023-05-09 화요일 13:46:34 506 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅑㅑ 2023-05-09 화요일 13:46:34 512 ] VideoAnalysis_Page -> VideoCheck_FileOpen2 
[ ㅑㅑ 2023-05-09 화요일 13:46:37 954 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅑㅑ 2023-05-09 화요일 13:46:37 965 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅑㅑ 2023-05-09 화요일 13:46:39 492 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅑㅑ 2023-05-09 화요일 13:46:39 541 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅑㅑ 2023-05-09 화요일 13:46:43 148 ] VideoAnalysis_Page -> FilterClick 
[ ㅑㅑ 2023-05-09 화요일 13:46:45 582 ] VideoAnalysis_Page -> FilterClick 
[ ㅑㅑ 2023-05-09 화요일 13:47:06 889 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅑㅑ 2023-05-09 화요일 13:47:06 891 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅑㅑ 2023-05-09 화요일 13:47:07 346 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅑㅑ 2023-05-09 화요일 13:47:07 347 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅑㅑ 2023-05-09 화요일 16:15:31 920 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅑㅑ 2023-05-09 화요일 16:15:31 924 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅑㅑ 2023-05-09 화요일 16:15:33 985 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅑㅑ 2023-05-09 화요일 16:15:33 989 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅑㅑ 2023-05-09 화요일 16:16:18 088 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅑㅑ 2023-05-09 화요일 16:16:18 117 ] VideoAnalysis_Page -> VideoCheck_Stop1 
[ ㅑㅑ 2023-05-09 화요일 16:16:21 812 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅑㅑ 2023-05-09 화요일 16:16:21 815 ] VideoAnalysis_Page -> VideoCheck_Stop2 
[ ㅑㅑ 2023-05-09 화요일 16:16:38 939 ] Form1 -> Form1_FormClosing 
[ ㅑㅑ 2023-05-09 화요일 16:16:38 949 ] RealTimeView_Page -> CameraClose 
[ ㅑㅑ 2023-05-09 화요일 16:16:39 030 ] CameraControl -> Stop 
[ ㅑㅑ 2023-05-09 화요일 16:16:40 444 ] CameraControl -> Close 
