[  2023-05-30 화요일 10:19:16 961 ] 파일 생성 성공
[ ㅓㅓ 2023-05-30 화요일 10:19:16 961 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-05-30 화요일 10:19:27 109 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-30 화요일 10:19:27 346 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-05-30 화요일 10:19:29 071 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-05-30 화요일 10:19:29 117 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅓㅓ 2023-05-30 화요일 10:19:38 821 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅓㅓ 2023-05-30 화요일 10:19:38 822 ] VideoAnalysis_Page -> VideoCheck_FileOpen2 
[ ㅓㅓ 2023-05-30 화요일 10:19:49 029 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-05-30 화요일 10:19:49 892 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-05-30 화요일 10:20:24 246 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-05-30 화요일 10:20:25 134 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-05-30 화요일 14:33:35 614 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-05-30 화요일 14:33:37 401 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-05-30 화요일 14:33:37 666 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-05-30 화요일 14:33:39 577 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-05-30 화요일 14:33:39 591 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅓㅓ 2023-05-30 화요일 14:33:49 833 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-05-30 화요일 14:33:51 366 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-05-30 화요일 14:33:51 368 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-05-30 화요일 14:34:03 755 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-05-30 화요일 14:34:03 755 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-05-30 화요일 18:03:44 320 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-05-30 화요일 18:03:44 332 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-05-30 화요일 18:03:44 347 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-30 화요일 18:03:44 774 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-30 화요일 18:03:44 827 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-30 화요일 18:03:44 827 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-30 화요일 18:03:44 828 ] CameraControl -> Stop 
[ ㅓㅓ 2023-05-30 화요일 18:03:44 828 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-30 화요일 18:03:44 828 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-05-30 화요일 18:03:44 830 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-05-30 화요일 18:03:45 397 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-30 화요일 18:03:45 397 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-30 화요일 18:03:45 409 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-30 화요일 18:03:45 409 ] CameraControl -> Close 
[ ㅓㅓ 2023-05-30 화요일 18:03:45 410 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-05-30 화요일 18:03:45 410 ] CameraControl -> Close 
