[  2023-06-21 수요일 10:01:36 828 ] 파일 생성 성공
[ ㅓㅓ 2023-06-21 수요일 10:01:36 828 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-06-21 수요일 10:01:38 411 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 10:01:38 627 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-06-21 수요일 10:01:40 361 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-06-21 수요일 10:01:41 056 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 10:01:41 058 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅓㅓ 2023-06-21 수요일 10:01:52 819 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 10:01:52 822 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 10:02:04 547 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 10:02:04 548 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 10:58:34 335 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 10:58:34 337 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 10:58:54 683 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 10:58:54 684 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 11:12:12 381 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 11:12:12 382 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 11:17:45 710 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 11:17:45 714 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 11:28:32 347 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 11:28:32 363 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-21 수요일 11:31:31 624 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ ㅓㅓ 2023-06-21 수요일 11:31:31 634 ] RealTimeView_Page -> VideoSaveAction 
[ ㅓㅓ 2023-06-21 수요일 11:31:31 634 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-21 수요일 11:31:31 963 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-21 수요일 11:31:32 097 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-21 수요일 11:31:34 731 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ ㅓㅓ 2023-06-21 수요일 11:31:35 348 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-21 수요일 11:31:42 013 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 11:31:47 851 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-06-21 수요일 11:31:48 596 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅓㅓ 2023-06-21 수요일 11:31:48 599 ] VideoAnalysis_Page -> VideoCheck_FileOpen2 
[ ㅓㅓ 2023-06-21 수요일 11:31:59 564 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 11:31:59 564 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅓㅓ 2023-06-21 수요일 11:32:06 712 ] VideoAnalysis_Page -> VideoCheck_FileClose1 
[ ㅓㅓ 2023-06-21 수요일 11:32:08 448 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 11:32:08 448 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 11:32:09 375 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 11:32:09 386 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 12:38:39 225 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 12:38:39 226 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-21 수요일 12:39:56 060 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 12:39:59 239 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 12:39:59 245 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-21 수요일 12:40:00 786 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 12:40:03 852 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-06-21 수요일 12:40:05 699 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-06-21 수요일 12:40:07 333 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-06-21 수요일 12:40:13 678 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-06-21 수요일 13:02:59 817 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 13:02:59 817 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-21 수요일 13:05:35 182 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-06-21 수요일 13:05:35 186 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-06-21 수요일 13:05:35 187 ] CameraControl -> Stop 
[ ㅓㅓ 2023-06-21 수요일 13:05:36 472 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-21 수요일 13:05:36 518 ] CameraControl -> Stop 
[ ㅓㅓ 2023-06-21 수요일 13:05:36 519 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-21 수요일 13:05:36 519 ] CameraControl -> Stop 
[ ㅓㅓ 2023-06-21 수요일 13:05:36 519 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-21 수요일 13:05:36 519 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-06-21 수요일 13:05:36 520 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-06-21 수요일 13:05:37 814 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-06-21 수요일 13:05:37 814 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-21 수요일 13:05:37 822 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-06-21 수요일 13:05:37 823 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-21 수요일 13:05:37 823 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-06-21 수요일 13:05:37 823 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-21 수요일 13:06:30 120 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-06-21 수요일 13:06:31 713 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 13:08:02 882 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ ㅓㅓ 2023-06-21 수요일 13:08:03 067 ] RealTimeView_Page -> VideoSaveAction 
[ ㅓㅓ 2023-06-21 수요일 13:08:03 068 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-21 수요일 13:08:03 515 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-21 수요일 13:08:03 644 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-21 수요일 13:08:06 992 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ ㅓㅓ 2023-06-21 수요일 13:08:07 620 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-21 수요일 13:08:09 941 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 13:08:10 323 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-06-21 수요일 13:08:12 050 ] VideoAnalysis_Page -> FilterClick 
[ ㅓㅓ 2023-06-21 수요일 13:08:12 496 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 13:08:12 499 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅓㅓ 2023-06-21 수요일 13:09:14 962 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 13:09:14 965 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 13:09:16 664 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 13:09:16 667 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 13:09:33 274 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 13:09:33 274 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 13:09:39 960 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 13:09:39 960 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 13:09:47 943 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 13:09:47 943 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 13:09:48 829 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 13:09:48 829 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 14:20:34 228 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 14:20:34 229 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 14:52:16 548 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 14:52:16 548 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 14:52:40 064 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 14:52:40 065 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 14:52:47 692 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 14:52:47 692 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 14:52:48 848 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 14:52:48 848 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 16:07:49 368 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 16:07:49 371 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-21 수요일 16:07:52 957 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 16:07:56 818 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 16:07:56 819 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-21 수요일 16:10:04 390 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ ㅓㅓ 2023-06-21 수요일 16:10:04 391 ] RealTimeView_Page -> VideoSaveAction 
[ ㅓㅓ 2023-06-21 수요일 16:10:04 392 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-21 수요일 16:10:04 664 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-21 수요일 16:10:04 795 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-21 수요일 16:10:10 922 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ ㅓㅓ 2023-06-21 수요일 16:10:11 537 ] RealTimeView_Page -> FolderPath 
[ ㅓㅓ 2023-06-21 수요일 16:10:13 984 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-21 수요일 16:10:15 831 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 16:10:15 832 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ ㅓㅓ 2023-06-21 수요일 16:10:25 108 ] VideoAnalysis_Page -> VideoCheck_FileClose1 
[ ㅓㅓ 2023-06-21 수요일 16:10:31 840 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 16:10:31 841 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 16:10:33 565 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
