[  2023-06-29 목요일 10:48:25 149 ] 파일 생성 성공
[ ㅓㅓ 2023-06-29 목요일 10:48:25 148 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-06-29 목요일 10:48:28 080 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 10:50:59 389 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 10:50:59 643 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-06-29 목요일 10:51:01 262 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 10:51:01 272 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 10:51:03 029 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 10:51:04 411 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 10:51:04 411 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 10:51:06 204 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 10:51:12 477 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 10:51:12 477 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 10:52:00 556 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 13:40:27 245 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 13:40:27 251 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 15:23:44 947 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 15:23:47 328 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 15:23:47 334 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 15:23:52 378 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 15:25:06 650 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 15:25:06 656 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 15:25:16 122 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 15:25:18 093 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 15:25:18 093 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 15:25:20 851 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 15:25:21 828 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 15:25:21 829 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 15:25:28 798 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 15:25:30 036 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 15:25:30 036 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 15:25:56 744 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 15:25:58 376 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 15:25:58 377 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 15:26:20 317 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 17:46:43 601 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 17:46:43 607 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 17:51:04 070 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 17:51:33 643 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 17:51:33 644 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 17:51:35 124 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 17:55:48 128 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 17:55:49 871 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-29 목요일 17:55:49 871 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-06-29 목요일 17:55:53 171 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-06-30 금요일 00:00:00 070 ] Settings_Page -> WorkDayChange 
[ ㅓㅓ 2023-06-30 금요일 00:00:00 071 ] Settings_Page -> XMLSave 
