[  2023-07-17 월요일 08:51:16 586 ] 파일 생성 성공
[ ㅓㅓ 2023-07-17 월요일 08:51:16 585 ] Settings_Page -> XMLSave 
[ ㅓㅓ 2023-07-17 월요일 08:51:23 217 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 08:51:23 582 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ ㅓㅓ 2023-07-17 월요일 08:51:26 186 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 08:51:26 187 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 08:51:28 222 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 08:51:30 462 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 08:51:30 465 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 08:51:30 755 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ ㅓㅓ 2023-07-17 월요일 08:51:33 100 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 08:51:33 102 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 08:52:02 404 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 08:52:18 167 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 08:52:18 168 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 08:52:19 933 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 08:52:19 934 ] VideoAnalysis_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 08:53:42 836 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 08:53:42 837 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 08:53:51 275 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 08:55:40 639 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 08:55:40 640 ] VideoCheck_Page -> PageChange 
[ ㅓㅓ 2023-07-17 월요일 08:55:42 092 ] Form1 -> NavigationClick 
[ ㅓㅓ 2023-07-17 월요일 08:55:42 092 ] VideoAnalysis_Page -> PageChange 
