[  2023-05-04 목요일 16:29:27 568 ] 파일 생성 성공
[ 커커피 2023-05-04 목요일 16:29:27 567 ] Settings_Page -> XMLSave 
[ 커커피 2023-05-04 목요일 16:29:29 497 ] Form1 -> NavigationClick 
[ 커커피 2023-05-04 목요일 16:29:29 741 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ 커커피 2023-05-04 목요일 16:29:34 693 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:29:34 773 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 커커피 2023-05-04 목요일 16:29:44 370 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 입력 문자열의 형식이 잘못되었습니다.
[ 커커피 2023-05-04 목요일 16:30:13 491 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:30:13 492 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 커커피 2023-05-04 목요일 16:30:30 222 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 입력 문자열의 형식이 잘못되었습니다.
[ 커커피 2023-05-04 목요일 16:30:31 814 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:30:31 814 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 커커피 2023-05-04 목요일 16:31:24 821 ] VideoAnalysis_Page -> FilterClick 
[ 커커피 2023-05-04 목요일 16:31:33 605 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:31:33 606 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 16:31:36 950 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:31:36 955 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 16:32:47 301 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:32:47 301 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 16:37:40 447 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:37:40 448 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 16:37:43 964 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:37:43 965 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 16:37:44 229 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:37:44 229 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 16:38:01 351 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:38:01 351 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 16:43:32 452 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:43:32 453 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 16:43:33 154 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:43:33 154 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 16:43:37 036 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:43:37 038 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 16:43:47 288 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:43:47 289 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 16:44:04 050 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:44:04 051 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 16:47:28 983 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 16:47:28 983 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:21:44 204 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:21:44 205 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:21:49 255 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:21:49 256 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:22:12 401 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:22:12 402 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:22:16 949 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:22:16 950 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:22:59 399 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:22:59 399 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:11 640 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:11 640 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:15 149 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:15 151 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:23 763 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:23 764 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:24 331 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:24 332 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:32 897 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:32 898 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:33 281 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:33 281 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:49 043 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:49 044 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:49 348 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:49 349 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:50 184 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:50 184 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:50 432 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:50 432 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:51 128 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:51 129 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:51 271 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:51 272 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:52 049 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:52 051 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:52 194 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:52 194 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:53 492 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:53 493 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:53 666 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:53 670 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:54 908 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:54 909 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:55 121 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:55 121 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:56 666 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:56 667 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:23:56 871 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:23:56 872 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:24:08 862 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:24:08 863 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:24:09 014 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:24:09 014 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:24:27 669 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:24:27 670 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 17:24:36 167 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커커피 2023-05-04 목요일 17:24:36 168 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커커피 2023-05-04 목요일 18:06:42 875 ] Form1 -> Form1_FormClosing 
[ 커커피 2023-05-04 목요일 18:06:42 888 ] RealTimeView_Page -> CameraClose 
[ 커커피 2023-05-04 목요일 18:06:42 917 ] CameraControl -> Stop 
[ 커커피 2023-05-04 목요일 18:06:44 311 ] CameraControl -> Close 
[ 커커피 2023-05-04 목요일 18:06:44 377 ] CameraControl -> Stop 
[ 커커피 2023-05-04 목요일 18:06:45 698 ] CameraControl -> Close 
[ 커커피 2023-05-04 목요일 18:06:45 730 ] CameraControl -> Stop 
[ 커커피 2023-05-04 목요일 18:06:46 096 ] CameraControl -> Close 
[ 커커피 2023-05-04 목요일 18:06:46 155 ] VideoCheck_Page -> VideoClose 
[ 커커피 2023-05-04 목요일 18:06:46 156 ] VideoAnalysis_Page -> VideoClose 
