[  2023-05-03 수요일 17:10:35 094 ] 파일 생성 성공
[ 커피 2023-05-03 수요일 17:10:35 091 ] Settings_Page -> XMLSave 
[ 커피 2023-05-03 수요일 17:10:38 361 ] Form1 -> NavigationClick 
[ 커피 2023-05-03 수요일 17:10:38 716 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ 커피 2023-05-03 수요일 17:10:41 073 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-03 수요일 17:10:41 249 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 커피 2023-05-03 수요일 17:17:49 047 ] Settings_Page -> XMLSave 
[ 커피 2023-05-03 수요일 17:19:13 371 ] Form1 -> NavigationClick 
[ 커피 2023-05-03 수요일 17:19:13 661 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ 커피 2023-05-03 수요일 17:19:15 862 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-03 수요일 17:19:15 876 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 커피 2023-05-03 수요일 17:19:23 537 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-03 수요일 17:32:56 810 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-03 수요일 17:32:56 812 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-03 수요일 17:49:38 423 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-03 수요일 17:49:38 425 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-03 수요일 17:49:45 719 ] Form1 -> Form1_FormClosing 
[ 커피 2023-05-03 수요일 17:49:45 736 ] RealTimeView_Page -> CameraClose 
[ 커피 2023-05-03 수요일 17:49:45 775 ] CameraControl -> Stop 
[ 커피 2023-05-03 수요일 17:49:47 143 ] CameraControl -> Close 
[ 커피 2023-05-03 수요일 17:49:47 208 ] CameraControl -> Stop 
[ 커피 2023-05-03 수요일 17:49:48 560 ] CameraControl -> Close 
[ 커피 2023-05-03 수요일 17:49:48 595 ] CameraControl -> Stop 
[ 커피 2023-05-03 수요일 17:49:48 944 ] CameraControl -> Close 
[ 커피 2023-05-03 수요일 17:49:48 990 ] VideoCheck_Page -> VideoClose 
[ 커피 2023-05-03 수요일 17:49:48 992 ] VideoAnalysis_Page -> VideoClose 
[ 커피 2023-05-03 수요일 17:49:49 402 ] CameraControl -> Finalize 
[ 커피 2023-05-03 수요일 17:49:49 402 ] CameraControl -> Close 
[ 커피 2023-05-03 수요일 17:49:49 412 ] CameraControl -> Finalize 
[ 커피 2023-05-03 수요일 17:49:49 412 ] CameraControl -> Close 
[ 커피 2023-05-03 수요일 17:49:49 413 ] CameraControl -> Finalize 
[ 커피 2023-05-03 수요일 17:49:49 413 ] CameraControl -> Close 
