[  2023-05-08 월요일 09:31:42 949 ] 파일 생성 성공
[ 커피 2023-05-08 월요일 09:31:42 948 ] Settings_Page -> XMLSave 
[ 커피 2023-05-08 월요일 09:31:45 764 ] Form1 -> NavigationClick 
[ 커피 2023-05-08 월요일 09:31:46 002 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ 커피 2023-05-08 월요일 09:31:47 938 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:31:48 013 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 커피 2023-05-08 월요일 09:31:54 946 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-08 월요일 09:33:01 449 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:33:01 461 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:33:26 301 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:33:26 302 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:33:53 807 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:33:53 808 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:34:04 229 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:34:04 237 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:37:58 784 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:37:58 785 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:37:59 493 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:37:59 493 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:38:09 480 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:38:09 480 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:38:12 861 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:38:12 867 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:38:46 148 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:38:46 149 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:39:11 400 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:39:11 401 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:39:29 669 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:39:29 670 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:41:46 438 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:41:46 439 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:41:48 788 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:41:48 789 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:41:49 511 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:41:49 511 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:41:56 229 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:41:56 230 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:41:57 533 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:41:57 534 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:42:09 667 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:42:09 668 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:42:10 336 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:42:10 337 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:42:25 924 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:42:25 924 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:42:29 172 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:42:29 173 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:42:32 517 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:42:32 518 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:42:33 200 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:42:33 201 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:42:36 039 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:42:36 040 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:42:37 171 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:42:37 172 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:42:42 718 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:42:42 718 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:42:43 388 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:42:43 389 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:42:44 447 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:42:44 457 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 09:42:48 013 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-08 월요일 09:42:48 014 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-08 월요일 13:38:56 672 ] Form1 -> NavigationClick 
[ 커피 2023-05-08 월요일 13:38:56 680 ] VideoAnalysis_Page -> PageChange 
[ 커피 2023-05-08 월요일 13:38:57 084 ] VideoCheck_Page -> VideoCheck_Page_Load 
[ 커피 2023-05-08 월요일 13:38:58 766 ] Form1 -> NavigationClick 
[ 커피 2023-05-08 월요일 13:38:58 767 ] VideoCheck_Page -> PageChange 
[ 커피 2023-05-08 월요일 13:39:03 387 ] RealTimeView_Page -> RealTimeView_CamActions 
[ 커피 2023-05-08 월요일 13:39:05 058 ] RealTimeView_Page -> RealTimeView_CamActions 
[ 커피 2023-05-08 월요일 13:39:07 469 ] RealTimeView_Page -> RealTimeView_CamActions 
[ 커피 2023-05-08 월요일 13:39:22 059 ] RealTimeView_Page -> RealTimeView_CamActions 
[ 커피 2023-05-08 월요일 13:39:24 027 ] RealTimeView_Page -> RealTimeView_CamActions 
[ 커피 2023-05-08 월요일 13:40:54 028 ] Form1 -> NavigationClick 
[ 커피 2023-05-08 월요일 13:41:01 020 ] Settings_Page -> FolderOpen 
