[  2023-05-09 화요일 09:29:52 472 ] 파일 생성 성공
[ 커피 2023-05-09 화요일 09:29:52 472 ] Settings_Page -> XMLSave 
[ 커피 2023-05-09 화요일 09:29:56 636 ] Form1 -> NavigationClick 
[ 커피 2023-05-09 화요일 09:29:56 958 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ 커피 2023-05-09 화요일 09:29:59 643 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 09:29:59 789 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 커피 2023-05-09 화요일 09:32:44 186 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 09:32:44 188 ] VideoAnalysis_Page -> VideoCheck_FileOpen2 
[ 커피 2023-05-09 화요일 09:32:56 506 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 09:32:56 507 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 09:32:59 278 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 09:32:59 283 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 09:33:01 349 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 09:33:01 349 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 09:33:02 700 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 09:33:05 298 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 09:33:05 299 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 09:33:23 835 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 09:33:23 835 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 09:33:24 639 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 09:33:25 553 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 09:33:25 553 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 09:33:30 063 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 09:33:30 063 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 09:33:31 252 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 09:33:33 500 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 09:33:37 519 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 09:33:37 531 ] VideoAnalysis_Page -> VideoCheck_Play2 
