[ 2023-04-18 화요일 17:48:40 385 ] 프로그램 시작
[ 2023-04-18 화요일 17:48:42 699 ] Form1 -> Form1_Shown 
[ 2023-04-18 화요일 17:48:43 610 ] RealTimeView_Page -> PanelSettings 
[ 2023-04-18 화요일 17:48:44 018 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ 2023-04-18 화요일 17:48:44 019 ] RealTimeView_Page -> VideoSetLoad 
[ 2023-04-18 화요일 17:48:44 022 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ 2023-04-18 화요일 17:48:44 025 ] Settings_Page -> XMLSave 
[ 2023-04-18 화요일 17:48:44 025 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:48:44 291 ] CameraControl -> open 
[ 2023-04-18 화요일 17:48:44 324 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:48:44 340 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:48:44 352 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:48:44 398 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:48:44 675 ] CameraControl -> open 
[ 2023-04-18 화요일 17:48:44 687 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:48:44 694 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:48:44 697 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:48:44 741 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:48:45 084 ] CameraControl -> open 
[ 2023-04-18 화요일 17:48:45 096 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:48:45 106 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:48:45 109 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:48:45 174 ] Settings_Page -> XMLSave 
[ 2023-04-18 화요일 17:48:45 206 ] VideoCheck_Page -> PanelSettings 
[ 2023-04-18 화요일 17:48:45 303 ] VideoAnalysis_Page -> PanelSettings 
[ 2023-04-18 화요일 17:48:48 587 ] Form1 -> Form1_FormClosing 
[ 2023-04-18 화요일 17:48:48 721 ] RealTimeView_Page -> CameraClose 
[ 2023-04-18 화요일 17:48:48 832 ] CameraControl -> Stop 
[ 2023-04-18 화요일 17:48:50 257 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:48:50 307 ] CameraControl -> Stop 
[ 2023-04-18 화요일 17:48:51 683 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:48:51 724 ] CameraControl -> Stop 
[ 2023-04-18 화요일 17:48:52 101 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:48:52 126 ] VideoCheck_Page -> VideoClose 
[ 2023-04-18 화요일 17:48:52 127 ] VideoAnalysis_Page -> VideoClose 
[ 2023-04-18 화요일 17:49:02 376 ] 프로그램 시작
[ 2023-04-18 화요일 17:49:04 705 ] Form1 -> Form1_Shown 
[ 2023-04-18 화요일 17:49:05 158 ] RealTimeView_Page -> PanelSettings 
[ 2023-04-18 화요일 17:49:05 482 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ 2023-04-18 화요일 17:49:05 483 ] RealTimeView_Page -> VideoSetLoad 
[ 2023-04-18 화요일 17:49:05 484 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ 2023-04-18 화요일 17:49:05 485 ] Settings_Page -> XMLSave 
[ 2023-04-18 화요일 17:49:05 486 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:49:05 754 ] CameraControl -> open 
[ 2023-04-18 화요일 17:49:05 782 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:49:05 794 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:49:05 804 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:49:05 847 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:49:06 149 ] CameraControl -> open 
[ 2023-04-18 화요일 17:49:06 170 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:49:06 179 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:49:06 181 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:49:06 223 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:49:06 547 ] CameraControl -> open 
[ 2023-04-18 화요일 17:49:06 569 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:49:06 576 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:49:06 580 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:49:06 644 ] Settings_Page -> XMLSave 
[ 2023-04-18 화요일 17:49:06 670 ] VideoCheck_Page -> PanelSettings 
[ 2023-04-18 화요일 17:49:06 741 ] VideoAnalysis_Page -> PanelSettings 
[ 2023-04-18 화요일 17:52:53 028 ] Form1 -> Form1_FormClosing 
[ 2023-04-18 화요일 17:52:53 033 ] RealTimeView_Page -> CameraClose 
[ 2023-04-18 화요일 17:52:53 170 ] CameraControl -> Stop 
[ 2023-04-18 화요일 17:52:53 339 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:52:53 473 ] CameraControl -> Stop 
[ 2023-04-18 화요일 17:52:54 826 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:52:54 932 ] CameraControl -> Stop 
[ 2023-04-18 화요일 17:52:55 275 ] CameraControl -> Close 
[ 2023-04-18 화요일 17:52:55 300 ] VideoCheck_Page -> VideoClose 
[ 2023-04-18 화요일 17:52:55 301 ] VideoAnalysis_Page -> VideoClose 
[ 2023-04-18 화요일 17:58:13 041 ] 프로그램 시작
[ 2023-04-18 화요일 17:58:15 365 ] Form1 -> Form1_Shown 
[ 2023-04-18 화요일 17:58:16 257 ] RealTimeView_Page -> PanelSettings 
[ 2023-04-18 화요일 17:58:16 573 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ 2023-04-18 화요일 17:58:16 574 ] RealTimeView_Page -> VideoSetLoad 
[ 2023-04-18 화요일 17:58:16 575 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ 2023-04-18 화요일 17:58:16 576 ] Settings_Page -> XMLSave 
[ 2023-04-18 화요일 17:58:16 577 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:58:16 834 ] CameraControl -> open 
[ 2023-04-18 화요일 17:58:16 866 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:58:16 880 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:58:16 891 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:58:16 941 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:58:17 222 ] CameraControl -> open 
[ 2023-04-18 화요일 17:58:17 234 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:58:17 241 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:58:17 243 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:58:17 286 ] CameraControl -> CameraOpen 
[ 2023-04-18 화요일 17:58:17 590 ] CameraControl -> open 
[ 2023-04-18 화요일 17:58:17 604 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-18 화요일 17:58:17 617 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-18 화요일 17:58:17 621 ] CameraControl -> Start 
[ 2023-04-18 화요일 17:58:17 753 ] Settings_Page -> XMLSave 
[ 2023-04-18 화요일 17:58:17 796 ] VideoCheck_Page -> PanelSettings 
[ 2023-04-18 화요일 17:58:17 959 ] VideoAnalysis_Page -> PanelSettings 
[ 2023-04-18 화요일 18:01:10 552 ] Form1 -> Form1_FormClosing 
[ 2023-04-18 화요일 18:01:10 563 ] RealTimeView_Page -> CameraClose 
