[ 2023-04-19 수요일 09:12:13 842 ] 프로그램 시작
[ 2023-04-19 수요일 09:12:16 169 ] Form1 -> Form1_Shown 
[ 2023-04-19 수요일 09:12:17 092 ] RealTimeView_Page -> PanelSettings 
[ 2023-04-19 수요일 09:12:17 463 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ 2023-04-19 수요일 09:12:17 464 ] RealTimeView_Page -> VideoSetLoad 
[ 2023-04-19 수요일 09:12:17 465 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ 2023-04-19 수요일 09:12:17 466 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 09:12:17 467 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 09:12:17 724 ] CameraControl -> open 
[ 2023-04-19 수요일 09:12:17 777 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 09:12:17 794 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 09:12:17 809 ] CameraControl -> Start 
[ 2023-04-19 수요일 09:12:17 864 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 09:12:18 136 ] CameraControl -> open 
[ 2023-04-19 수요일 09:12:18 146 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 09:12:18 155 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 09:12:18 160 ] CameraControl -> Start 
[ 2023-04-19 수요일 09:12:18 198 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 09:12:18 534 ] CameraControl -> open 
[ 2023-04-19 수요일 09:12:18 547 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 09:12:18 569 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 09:12:18 600 ] CameraControl -> Start 
[ 2023-04-19 수요일 09:12:18 706 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 09:12:18 755 ] VideoCheck_Page -> PanelSettings 
[ 2023-04-19 수요일 09:12:18 923 ] VideoAnalysis_Page -> PanelSettings 
[ 2023-04-19 수요일 09:13:39 001 ] Form1 -> NavigationClick 
[ 2023-04-19 수요일 09:13:41 612 ] Settings_Page -> PathChange 
[ 2023-04-19 수요일 09:13:53 411 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 09:14:33 203 ] Form1 -> Form1_FormClosing 
[ 2023-04-19 수요일 09:16:39 787 ] Form1 -> Form1_FormClosing 
[ 2023-04-19 수요일 09:16:39 802 ] RealTimeView_Page -> CameraClose 
[ 2023-04-19 수요일 09:16:39 810 ] CameraControl -> Stop 
[ 2023-04-19 수요일 09:16:40 045 ] CameraControl -> Close 
[ 2023-04-19 수요일 09:16:40 082 ] CameraControl -> Stop 
[ 2023-04-19 수요일 09:16:41 426 ] CameraControl -> Close 
[ 2023-04-19 수요일 09:16:41 457 ] CameraControl -> Stop 
[ 2023-04-19 수요일 09:16:41 830 ] CameraControl -> Close 
[ 2023-04-19 수요일 09:16:41 861 ] VideoCheck_Page -> VideoClose 
[ 2023-04-19 수요일 09:16:41 862 ] VideoAnalysis_Page -> VideoClose 
[ 2023-04-19 수요일 09:16:42 049 ] CameraControl -> Finalize 
[ 2023-04-19 수요일 09:16:42 049 ] CameraControl -> Close 
[ 2023-04-19 수요일 09:16:42 056 ] CameraControl -> Finalize 
[ 2023-04-19 수요일 09:16:42 056 ] CameraControl -> Close 
[ 2023-04-19 수요일 09:16:42 057 ] CameraControl -> Finalize 
[ 2023-04-19 수요일 09:16:42 057 ] CameraControl -> Close 
